film,rating,url
Bůh s námi – od defenestrace k Bílé hoře,45,https://kultura.zpravy.idnes.cz/recenze-buh-s-nami-od-defenestrace-k-bile-hore-ct-karel-dobry-p43-/filmvideo.aspx?c=A180510_173640_filmvideo_spm
Taxi 5,40,https://kultura.zpravy.idnes.cz/taxi-5-recenze-0dg-/filmvideo.aspx?c=A180510_140602_filmvideo_ts
Kluci z hor,50,https://kultura.zpravy.idnes.cz/kluci-z-hor-recenze-0oi-/filmvideo.aspx?c=A180509_101125_filmvideo_ts
Psí ostrov,70,https://kultura.zpravy.idnes.cz/recenze-psi-ostrov-wes-anderson-dan-/filmvideo.aspx?c=A180504_134316_filmvideo_ts
Tiché místo,65,https://kultura.zpravy.idnes.cz/tiche-misto-film-recenze-08r-/filmvideo.aspx?c=A180504_132201_filmvideo_vha
Neznámý voják,70,https://kultura.zpravy.idnes.cz/recenze-neznamy-vojak-0ux-/filmvideo.aspx?c=A180503_399145_filmvideo_spm
Robert Vano - Příběh člověka,65,https://kultura.zpravy.idnes.cz/recenze-robert-vano-pribeh-cloveka-dt4-/filmvideo.aspx?c=A180430_398628_filmvideo_spm
Pomsta,50,https://kultura.zpravy.idnes.cz/pomsta-recenze-coralie-fargeatova-dr8-/filmvideo.aspx?c=A180427_142308_filmvideo_ts
Dvě nevěsty a jedna svatba,45,https://kultura.zpravy.idnes.cz/recenze-dve-nevesty-a-jedna-svatba-drt-/filmvideo.aspx?c=A180427_100022_filmvideo_ts
Avengers: Infinity War,60,https://kultura.zpravy.idnes.cz/avengers-infinity-war-recenze-def-/filmvideo.aspx?c=A180426_093847_filmvideo_ts
Bratři Lumierové,75,https://kultura.zpravy.idnes.cz/bratri-lumierove-recenze-0h7-/filmvideo.aspx?c=A180425_121914_filmvideo_ts
Magické hlubiny,55,https://kultura.zpravy.idnes.cz/magicke-hlubiny-dokument-pavel-jirasek-recenze-frk-/filmvideo.aspx?c=A180423_100220_filmvideo_ts
Metanol,55,https://kultura.zpravy.idnes.cz/film-metanol-recenze-0ri-/filmvideo.aspx?c=A180420_095744_filmvideo_vha
Hastrman,60,https://kultura.zpravy.idnes.cz/recenze-hastrman-karel-dobry-ondrej-havelka-milos-urban-pj7-/filmvideo.aspx?c=A180419_396262_filmvideo_spm
Poslední útěk Jeronýma Pražského,40,https://kultura.zpravy.idnes.cz/recenze-posledni-utek-jeronyma-prazskeho-vetchy-fbj-/filmvideo.aspx?c=A180418_111319_filmvideo_ts
V husí kůži,50,https://kultura.zpravy.idnes.cz/v-husi-kuzi-recenze-0ow-/filmvideo.aspx?c=A180417_132521_filmvideo_ts
Trojí život,60,https://kultura.zpravy.idnes.cz/troji-zivot-recenze-0q7-/filmvideo.aspx?c=A180413_103145_filmvideo_ts
Fakjů pane učiteli 3,35,https://kultura.zpravy.idnes.cz/fakju-pane-uciteli-3-recenze-dfu-/filmvideo.aspx?c=A180412_132023_filmvideo_ts
Foxtrot,65,https://kultura.zpravy.idnes.cz/foxtrot-recenze-02j-/filmvideo.aspx?c=A180411_115308_filmvideo_ts
Pepa,45,https://kultura.zpravy.idnes.cz/pepa-recenze-suchanek-spalkova-dm1-/filmvideo.aspx?c=A180410_104233_filmvideo_ts
Plážoví povaleči,50,https://kultura.zpravy.idnes.cz/plazovi-povaleci-recenze-0ht-/filmvideo.aspx?c=A180409_140751_filmvideo_ts
Ztratili jsme Stalina,70,https://kultura.zpravy.idnes.cz/recenze-ztratili-jsme-stalina-steve-buscemi-fmq-/filmvideo.aspx?c=A180406_393558_filmvideo_spm
Souboj pohlaví,50,https://kultura.zpravy.idnes.cz/recenze-souboj-pohlavi-emma-stone-steve-carell-fln-/filmvideo.aspx?c=A180404_393102_filmvideo_spm
Batalives: Baťovské životy,60,https://kultura.zpravy.idnes.cz/batalives-batovske-zivoty-recenze-dtq-/filmvideo.aspx?c=A180403_135001_filmvideo_ts
V.I.P. vraždy 2,40,https://kultura.zpravy.idnes.cz/v-i-p-vrazdy-2-recenze-0rt-/filmvideo.aspx?c=A180329_112600_filmvideo_ts
Ready Player One: Hra začíná,65,https://kultura.zpravy.idnes.cz/recenze-ready-player-one-hra-zacina-dun-/filmvideo.aspx?c=A180328_095641_filmvideo_ts
Z lásky nenávist 2 - Domácí násilí na mužích,65,https://kultura.zpravy.idnes.cz/ct-dokument-z-lasky-nenavist-2-domaci-nasili-na-muzich-p0x-/filmvideo.aspx?c=A180326_170109_filmvideo_spm
Švéd v žigulíku,65,https://kultura.zpravy.idnes.cz/recenze-sved-v-ziguliku-petr-horky-dty-/filmvideo.aspx?c=A180326_120429_filmvideo_ts
Operace Entebbe,50,https://kultura.zpravy.idnes.cz/operace-entebbe-recenze-0sf-/filmvideo.aspx?c=A180323_151241_filmvideo_ts
Pacific Rim: Povstání,40,https://kultura.zpravy.idnes.cz/pacific-rim-povstani-recenze-din-/filmvideo.aspx?c=A180322_105803_filmvideo_ts
Nic jako dřív,65,https://kultura.zpravy.idnes.cz/recenze-nic-jako-driv-studenti-ucnak-pohranici-kokes-tasovska-p66-/filmvideo.aspx?c=A180321_110040_filmvideo_ts
Planeta Česko,55,https://kultura.zpravy.idnes.cz/planeta-cesko-marian-polak-recenze-d5w-/filmvideo.aspx?c=A180320_102000_filmvideo_ts
Dej mi své jméno,70,https://kultura.zpravy.idnes.cz/dej-mi-sve-jmeno-recenze-0s6-/filmvideo.aspx?c=A180316_161131_filmvideo_ts
Tomb Raider,40,https://kultura.zpravy.idnes.cz/recenze-tomb-raider-lara-croft-dej-/filmvideo.aspx?c=A180314_180746_filmvideo_spm
Tlumočník,65,https://kultura.zpravy.idnes.cz/recenze-tlumocnik-jiri-menzel-peter-simonischek-f64-/filmvideo.aspx?c=A180314_389098_filmvideo_spm
Cesta za králem trollů,60,https://kultura.zpravy.idnes.cz/recenze-pohadka-cesta-za-kralem-trollu-dht-/filmvideo.aspx?c=A180313_388836_filmvideo_spm
Tátova volha,60,https://kultura.zpravy.idnes.cz/tatova-volha-vejdelek-balzerova-vilhelmova-recenze-fh5-/filmvideo.aspx?c=A180308_092713_filmvideo_ts
Přání smrti,50,https://kultura.zpravy.idnes.cz/prani-smrti-bruce-willis-recenze-d4q-/filmvideo.aspx?c=A180307_095313_filmvideo_ts
Nikdys nebyl,50,https://kultura.zpravy.idnes.cz/recenze-nikdys-nebyl-0r7-/filmvideo.aspx?c=A180305_386980_filmvideo_spm
Noční hra,55,https://kultura.zpravy.idnes.cz/recenze-nocni-hra-rachel-mcadams-dap-/filmvideo.aspx?c=A180302_104614_filmvideo_kiz
Lady Bird,75,https://kultura.zpravy.idnes.cz/lady-bird-recenze-oscar-greta-gerwigova-fce-/filmvideo.aspx?c=A180301_386235_filmvideo_spm
Rudá volavka,40,https://kultura.zpravy.idnes.cz/recenze-ruda-volavka-jennifer-lawrence-d9f-/filmvideo.aspx?c=A180228_385965_filmvideo_spm
Lidové milice,60,https://kultura.zpravy.idnes.cz/lidove-milice-recenze-jakes-ct-dokument-fcz-/filmvideo.aspx?c=A180227_085346_filmvideo_ts
"Já, Tonya",55,https://kultura.zpravy.idnes.cz/ja-tonya-recenze-02r-/filmvideo.aspx?c=A180226_105436_filmvideo_ts
Hora,70,https://kultura.zpravy.idnes.cz/hora-recenze-c9p-/filmvideo.aspx?c=A180223_154913_filmvideo_ts
Věčně tvá nevěrná,35,https://kultura.zpravy.idnes.cz/recenze-vecne-tva-neverna-vilma-cibulkova-vlasakova-rasilov-prz-/filmvideo.aspx?c=A180222_164803_filmvideo_spm
Akta Pentagon: Skrytá válka,60,https://kultura.zpravy.idnes.cz/akta-pentagon-skryta-valka-recenze-dt7-/filmvideo.aspx?c=A180222_094627_filmvideo_ts
Inspektor Max,45,https://kultura.zpravy.idnes.cz/inspektor-max-recenze-06p-/filmvideo.aspx?c=A180221_093307_filmvideo_ts
Pračlověk,65,https://kultura.zpravy.idnes.cz/praclovek-recenze-031-/filmvideo.aspx?c=A180220_110304_filmvideo_ts
The Florida Project,65,https://kultura.zpravy.idnes.cz/the-florida-project-recenze-willem-dafoe-brooklynn-prince-p3s-/filmvideo.aspx?c=A180219_103038_filmvideo_ts
Hmyz,75,https://kultura.zpravy.idnes.cz/hmyz-svankmajer-recenze-080-/filmvideo.aspx?c=A180216_124228_filmvideo_ts
Black panther,55,https://kultura.zpravy.idnes.cz/cerny-black-panter-marvel-recenze-dlz-/filmvideo.aspx?c=A180213_171929_filmvideo_ts
Tvář vody,80,https://kultura.zpravy.idnes.cz/tvar-vody-recenze-0m3-/filmvideo.aspx?c=A180209_131126_filmvideo_ts
Dívka za zrcadlem,60,https://kultura.zpravy.idnes.cz/divka-za-zrcadlem-recenze-ct-vilhelmova-kaiser-dyk-fsh-/filmvideo.aspx?c=A180209_120802_filmvideo_ts
Padesát odstínů svobody,20,https://kultura.zpravy.idnes.cz/padesat-odstinu-svobody-recenze-dok-/filmvideo.aspx?c=A180208_091641_filmvideo_ts
Alenka v zemi zázraků,50,https://kultura.zpravy.idnes.cz/alenka-v-zemi-zazraku-recenze-d2j-/filmvideo.aspx?c=A180202_143144_filmvideo_ts
Polda III,65,https://kultura.zpravy.idnes.cz/recenze-polda-iii-prima-tv-matasek-drb-/filmvideo.aspx?c=A180202_380383_filmvideo_spm
Prezident Blaník,30,https://kultura.zpravy.idnes.cz/recenze-prezident-blanik-marek-daniel-d8l-/filmvideo.aspx?c=A180131_175246_filmvideo_spm
Nit z přízraků,75,https://kultura.zpravy.idnes.cz/nit-z-prizraku-recenze-070-/filmvideo.aspx?c=A180131_095445_filmvideo_ts
Michail Baryšnikov: Prostor,80,https://kultura.zpravy.idnes.cz/michail-barysnikov-prostor-recenze-dba-/filmvideo.aspx?c=A180126_105118_filmvideo_ts
Všechny prachy světa,40,https://kultura.zpravy.idnes.cz/vsechny-prachy-sveta-recenze-djk-/filmvideo.aspx?c=A180126_094622_filmvideo_ts
Paula,50,https://kultura.zpravy.idnes.cz/paula-recenze-0d0-/filmvideo.aspx?c=A180125_151847_filmvideo_ts
Labyrint: Vražedná léčba,50,https://kultura.zpravy.idnes.cz/labyrint-vrazedna-lecba-recenze-dn7-/filmvideo.aspx?c=A180125_095754_filmvideo_ts
Dukátová skála,35,https://kultura.zpravy.idnes.cz/dukatova-cesta-recenze-07g-/filmvideo.aspx?c=A180122_091340_filmvideo_ts
S láskou Vincent,60,https://kultura.zpravy.idnes.cz/s-laskou-vincent-recenze-film-van-gogh-dx4-/filmvideo.aspx?c=A180119_144137_filmvideo_ts
Coco,80,https://kultura.zpravy.idnes.cz/recenze-coco-oscar-pixar-08l-/filmvideo.aspx?c=A180117_174514_filmvideo_spm
Zoufalé ženy dělají zoufalé věci,50,https://kultura.zpravy.idnes.cz/zoufale-zeny-delaji-zoufale-veci-recenze-renc-issova-pcq-/filmvideo.aspx?c=A180117_092029_filmvideo_ts
Cizinec ve vlaku,50,https://kultura.zpravy.idnes.cz/cizinec-ve-vlaku-recenze-liam-neeson-d7v-/filmvideo.aspx?c=A180116_103254_filmvideo_ts
Tři billboardy kousek za Ebbingem,75,https://kultura.zpravy.idnes.cz/tri-billboardy-kousek-za-ebbingem-recenze-fge-/filmvideo.aspx?c=A180115_103808_filmvideo_ts
Zmenšování,45,https://kultura.zpravy.idnes.cz/recenze-zmensovani-matt-damon-alexander-payne-f4y-/filmvideo.aspx?c=A180112_375736_filmvideo_spm
Nejtemnější hodina,75,https://kultura.zpravy.idnes.cz/nejtemnejsi-hodina-winston-churchill-recenze-fou-/filmvideo.aspx?c=A180111_093308_filmvideo_ts
Vzteklina,70,https://kultura.zpravy.idnes.cz/vzteklina-recenze-035-/filmvideo.aspx?c=A180110_092515_filmvideo_ts
Dabing Street,80,https://kultura.zpravy.idnes.cz/serial-dabing-street-petr-zelenka-dejvicke-divadlo-recenze-pas-/filmvideo.aspx?c=A180105_114838_filmvideo_vha
Čertoviny,50,https://kultura.zpravy.idnes.cz/recenze-zdenek-troska-certoviny-pohadka-prima-fqi-/filmvideo.aspx?c=A180105_374201_filmvideo_spm
1890,55,https://kultura.zpravy.idnes.cz/1890-detektivka-recenze-0u0-/filmvideo.aspx?c=A180104_145657_filmvideo_ts
